	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
10093_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10094_at	1	2	2	1	2	1	2	2	1	2	1	2	2	1
10095_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10096_at	6	6	6	5	5	4	5	6	5	4	7	5	4	5
10097_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10098_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10099_at	3	4	3	3	4	3	4	4	3	3	3	4	3	3
100996259_at	2	2	1	1	3	1	1	2	1	2	3	2	2	2
100996318_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996365_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996379_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996414_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996442_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100996485_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996492_at	1	2	2	1	1	1	1	2	1	2	1	1	1	1
100996517_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996574_at	2	2	3	2	2	3	2	3	2	1	3	2	2	4
100996598_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996637_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996693_at	4	4	4	4	4	3	4	4	4	3	4	4	3	5
100996701_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996716_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996717_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996720_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996741_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996746_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996758_at	3	3	1	3	1	3	1	3	1	1	4	4	2	3
100996763_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996792_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100996842_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1010_at	1	1	1	1	2	1	1	2	2	2	3	3	2	5
10100_at	2	2	1	1	1	1	1	1	1	1	1	1	1	2
10101_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10102_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10103_at	4	3	3	4	4	3	4	4	4	3	4	4	3	3
10105_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101059906_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
101059918_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101059938_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101059953_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10106_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060022_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060024_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060179_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060200_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
101060226_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060254_at	6	6	6	6	6	6	7	7	6	6	6	6	5	5
101060301_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060321_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
101060341_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060351_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060376_at	3	2	3	2	3	3	3	3	2	3	3	3	2	1
101060389_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101060684_at	2	2	2	2	2	1	3	2	2	2	2	3	2	3
10107_at	6	5	5	5	5	5	4	5	4	5	5	5	4	6
10109_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10110_at	5	4	5	4	5	5	5	5	5	4	5	5	4	4
10111_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10112_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10113_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10114_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10116_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10117_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101180976_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1012_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10120_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10121_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10123_at	1	1	1	1	1	1	1	1	1	1	2	1	1	3
10124_at	4	2	2	3	4	3	2	3	2	3	3	2	3	3
10125_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10126_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10127_at	3	2	2	2	2	2	3	2	2	2	2	2	2	2
10128_at	1	1	1	1	1	1	1	1	1	1	1	1	1	3
10129_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
