	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
10514_at	3.799469584	0.610195113	0.739048675	0.610638617	0.538526653	0.078551354	0.759973725	1.987261698	0.883130931	1.324539209	3.144278353	2.251759531	1.89355395	5.233415257
10516_at	3.64942161	3.331743178	3.966662541	2.804137412	3.138083529	3.330823867	3.715623806	4.274615622	3.858802275	3.416291624	3.737132705	3.912235532	4.013847536	4.940030566
10517_at	0.452144179	0	0.070035284	0.160306984	0.26524658	0	0.111294526	0.211947691	0.233605659	0.220128969	0.223674353	0.485033573	0.178184192	0.21599357
10518_at	0.366302934	0.130494031	0.118940913	0.183151426	0	0	0.096634588	0.348687938	0	0.099221759	0.568410679	0.546232357	0.155176041	0
10519_at	3.073299859	3.12586867	2.587785855	3.49343152	3.612757068	3.726746312	3.068259079	3.63097457	2.787262196	3.883718183	3.435131948	3.455484824	3.412776077	5.183242394
1052_at	0.166719867	0	0	0	0	0	0	0	0	0.202725691	0	0	0	0
10520_at	0.324780818	0.161087317	0.215184003	0.116968128	0.101006808	0.248944009	0.175897175	2.442291995	0.813811691	2.359248282	3.75843644	2.831195362	3.077111632	6.300414839
10521_at	2.558016646	1.935732863	1.775095342	1.558440297	1.065059178	0.531020279	1.273113527	1.328397525	2.346088113	2.079628476	2.243928773	2.275498033	1.463380005	2.989201243
10522_at	7.113332996	7.618631451	7.095506401	6.711240505	7.394138366	7.532529124	6.850256827	6.658659527	7.383462809	7.170321898	7.196544782	7.330010081	7.078096544	7.849542839
10523_at	0.104132998	0.243496044	0.152206004	0.72876608	0.379616476	0.091042952	0.393892576	0.437214057	0.258925894	0.403410706	0.700635447	0.827583318	0.287522869	1.488677321
10524_at	1.293392113	0.165889839	0.472141253	0.835172237	0.377670347	0.256142446	0.531931576	1.039681527	0.257544196	1.380594306	2.402963598	1.473722249	1.641310954	4.978582148
10525_at	5.895398291	6.130840206	5.749579009	5.225316845	5.719777468	5.12818545	6.119539176	6.158804879	5.84610704	4.764740057	6.633608525	5.267707109	5.414239543	6.648407817
10526_at	0.070829951	0.058251077	0.052976064	0.041883287	0	0	0.042856174	0	0.179086068	0.086747269	0.224207188	0.163748462	0.069597536	0.571198058
10527_at	5.700021686	6.44841232	6.263590719	5.902602402	6.562369933	7.342042466	6.980160423	5.788001939	6.96262745	6.649600763	5.19705778	6.486317216	5.711189998	4.867509922
10528_at	0.26196944	0	0.13575298	0	0	0	0.110412884	0.210324791	0.158615778	0	0.288966912	0.276646802	0	0
10529_at	0.017329317	0.028270913	0.050923855	0	0	0.030030325	0.020742207	0.04064768	0.088789954	0.063015986	0.190700781	0.242210972	0.099245315	0.159178821
