	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
MIR27A	-4.75314845517308	-1.70112681553563	1.55102739063543	0	-1.01476925312361	-2.96502936349372e-05
ENY2	-2.40159079840324	-0.850563407767817	0.750497124501012	0	-1.01515485929271	-2.96502936349372e-05
BTAF1	-2.75182278983705	-0.950629691034615	0.800530266134416	0	-1.01607333070867	-2.96502936349372e-05
ZW10	-2.90192221473725	-0.950629691034615	0.850563407767817	0	-1.01783986621808	-2.96502936349372e-05
FAM241A	-4.45294960537266	-1.35089482410183	1.30086168246842	0	-1.02168724163809	-2.96502936349372e-05
HTATIP2	-3.90258504740528	-1.10072911593482	1.05069597430142	0	-1.02184722117772	-2.96502936349372e-05
ADRM1	-2.85188907310385	-0.900596549401214	0.800530266134416	0	-1.02372367538045	-2.96502936349372e-05
PTPN9	-3.75248562250506	-1.20079539920162	1.10072911593482	0	-1.02521811026313	-2.96502936349372e-05
CBR3	-4.50298274700607	-1.95129252370263	1.55102739063543	0	-1.02785958346292	-2.96502936349372e-05
NUFIP1	-3.20212106453766	-1.00066283266802	0.850563407767817	0	-1.02858359445587	-2.96502936349372e-05
UBXN4	-2.40159079840324	-0.800530266134413	0.700463982867611	0	-1.02858823738888	-2.96502936349372e-05
CWF19L1	-4.45294960537266	-1.40092796573523	1.30086168246842	0	-1.03123543157913	-2.96502936349372e-05
PSMC6	-2.50165708167004	-0.800530266134413	0.700463982867611	0	-1.03194181616553	-2.96502936349372e-05
SLF2	-2.60172336493685	-0.900596549401214	0.750497124501012	0	-1.03220655039525	-2.96502936349372e-05
GCSH	-2.45162394003664	-0.850563407767817	0.750497124501012	0	-1.03277297217682	-2.96502936349372e-05
CD69	-3.35222048943787	-1.05069597430142	0.900596549401214	0	-1.03285751255857	-2.96502936349372e-05
AKAP8	-2.70178964820365	-0.900596549401214	0.750497124501012	0	-1.03291085866329	-2.96502936349372e-05
DNPH1	-2.75182278983705	-0.950629691034615	0.800530266134416	0	-1.0335229238283	-2.96502936349372e-05
TXNDC12	-2.75182278983705	-0.900596549401214	0.800530266134416	0	-1.03410403099884	-2.96502936349372e-05
SNORA8	-4.60304903027289	-2.00132566533604	1.55102739063543	0	-1.03626574117138	-2.96502936349372e-05
DUSP7	-3.75248562250506	-1.25082854083502	1.10072911593482	0	-1.03832725055702	-2.96502936349372e-05
PRCC	-4.25281703883907	-1.35089482410183	1.20079539920162	0	-1.03877269106896	-2.96502936349372e-05
KIF11	-3.20212106453766	-1.00066283266802	0.850563407767817	0	-1.04023796044589	-2.96502936349372e-05
ZDHHC16	-3.90258504740528	-1.25082854083502	1.10072911593482	0	-1.04111661511055	-2.96502936349372e-05
ALOX15	-4.65308217190629	-2.10139194860284	1.55102739063543	0	-1.04255130760171	-2.96502936349372e-05
UBR7	-3.15208792290426	-0.950629691034615	0.850563407767817	0	-1.04415939185375	-2.96502936349372e-05
POLR2H	-2.55169022330344	-0.900596549401214	0.750497124501012	0	-1.0442828693197	-2.96502936349372e-05
FOXO1	-3.15208792290426	-1.00066283266802	0.850563407767817	0	-1.04479091274816	-2.96502936349372e-05
USP47	-2.85188907310385	-1.05069597430142	0.850563407767817	0	-1.04560353611667	-2.96502936349372e-05
NIPBL	-2.55169022330344	-0.900596549401214	0.700463982867611	0	-1.04609451823918	-2.96502936349372e-05
PLEKHJ1	-2.80185593147045	-0.950629691034615	0.800530266134416	0	-1.04662087925233	-2.96502936349372e-05
BACE2	-5.30351301314049	-2.30152451513644	2.50165708167004	0	-1.04696322016779	-2.96502936349372e-05
PEX13	-3.95261818903866	-1.40092796573523	1.20079539920162	0	-1.0493931701254	-2.96502936349372e-05
HAUS1	-2.90192221473725	-0.900596549401214	0.750497124501012	0	-1.05005245554391	-2.96502936349372e-05
MTRF1L	-5.3535461547739	-1.20079539920162	1.15076225756822	0	-1.05094187343945	-2.96502936349372e-05
LEAP2	-4.60304903027289	-2.05135880696944	1.55102739063543	0	-1.05132038005126	-2.96502936349372e-05
MAP3K15	-4.70311531353967	-2.05135880696944	1.55102739063543	0	-1.05195578610497	-2.96502936349372e-05
ARHGAP31	-3.40225363107127	-1.10072911593482	0.950629691034615	0	-1.05331446875886	-2.96502936349372e-05
ETNK1	-2.70178964820365	-0.900596549401214	0.750497124501012	0	-1.05393887646732	-2.96502936349372e-05
THOC3	-2.90192221473725	-1.00066283266802	0.800530266134416	0	-1.05521345322962	-2.96502936349372e-05
CCL3	-5.3535461547739	-2.65175650657025	2.25149137350304	0	-1.05528735966442	-2.96502936349372e-05
CCL18	-5.3535461547739	-2.65175650657025	2.25149137350304	0	-1.05528735966442	-2.96502936349372e-05
CCL3L3	-5.3535461547739	-2.65175650657025	2.25149137350304	0	-1.05528735966442	-2.96502936349372e-05
RHOH	-2.70178964820365	-0.950629691034615	0.750497124501012	0	-1.05709215887099	-2.96502936349372e-05
